PaperID,Author,Year,Study,Subgroup,Gesture,Comparison,Baseline,Age (days),N,d,var(d),Presentation time (seconds),Response time (seconds),Modelling while responding,Setting of Data Collection,Who Delivers the Modelling,Exposure Quantity,Exposure Duration Per Slice,Response Quantity,Response Duration Per Slice,Total Exposure Duration,Total Response Duration,Trials-to-criterion,Infant Alertness Measured,How was Infant Alertness Measured,AlertM,Measure of Alertness or Attention by Infants,Reports How Sample Size Was Determined,Reports Statistical Power,Analysis Method,Analysis Method category,Analysis Method Appropriate for Correlated Data,Analysis Method Appropriate for Counts,Initial Sample Size,Number of Dropouts,Reported Participant Flow,Reason for Dropouts,Final Sample Size,Proportion of Sample Dropped
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,First position,Tongue protrusion,Mouth opening,0,1.683333333,28,0.847197607,0.08096599,24,24,1,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,First position,Tongue protrusion,Mouth opening,0,1.683333333,28,-0.043806854,0.074092501,24,24,0,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Second position,Tongue protrusion,Mouth opening,0,1.683333333,26,0.783574672,0.086385488,24,24,1,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Second position,Tongue protrusion,Mouth opening,0,1.683333333,26,0.609584855,0.083864574,24,24,0,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Third position,Tongue protrusion,Mouth opening,0,1.683333333,15,-0.277379368,0.144329196,24,24,1,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Third position,Tongue protrusion,Mouth opening,0,1.683333333,15,0.105662467,0.14307075,24,24,0,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,First position,Mouth opening,Tongue protrusion,0,1.683333333,27,-0.215665546,0.077387505,24,24,1,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,First position,Mouth opening,Tongue protrusion,0,1.683333333,27,-0.308722008,0.07787476,24,24,0,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Second position,Mouth opening,Tongue protrusion,0,1.683333333,28,0.058470535,0.074106902,24,24,1,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
Anisfeld2001,Anisfeld,2001,Anisfeld2001_1,Second position,Mouth opening,Tongue protrusion,0,1.683333333,28,0.081537425,0.074137913,24,24,0,Hospital,Experimenter,4,20,4,20,80,80,0,Yes,Eye opening in 4-sec intervals on a 4-point scale. ,Behaviour,Not reported,No,No,Wilcoxon matched-pairs signed-rank test,Signed rank,Yes,Yes,186,103,1,"72 inconsolable crying, bowel movements, hiccups, or sleeping; 2 procedural problems; 29 below minimum attentional criteria",83,1.240963855
